Chinese (Simplified),English,Category,Description,Reference,Chinese (Traditional),Korean,Japanese,Swedish,Polish,Dutch,Indonesian,Spanish,Turkish,Vietnamese,French,German,Italian,Russian,Portuguese,Thai,Malaysian,Arabic
随机旗舰部件宝箱,Random Flagship Component Chest,Bundle,,,隨機旗艦組件寶箱,랜덤 군함 부품 보물상자,ランダム旗艦パーツBOX,Slumpkista med flaggskeppskomponent,Skrzynia z losowym komponentem okrętu flagowego,Kist met willekeurige vlaggenschipcomponent,Peti Komponen Flagship Acak,Cofre de componente de nave insignia aleatorio,Rastgele Amiral Gemisi Bileşen Sandığı,Rương Bộ Phận Soái Hạm Ngẫu Nhiên,Composant aléatoire de vaisseau amiral,Zufällige Flaggschiffkomponenten-Truhe,Forziere componente ammiraglia casuale,Случайный кейс: компоненты флагмана,Baú de Componente de Nau Capitânia Aleatório,หีบชิ้นส่วนยานเรือธงแบบสุ่ม,Peti Komponen Kapal Laksamana Rawak,صندوق مكونات سفينة القيادة العشوائي
随机信用点宝箱,Random Credit Chest,Bundle,,,隨機信用點寶箱,랜덤 신용 포인트 보물상자,ランダムクレジットBOX,Slumpkista med krediter,Skrzynia losu z kredytami,Kist met willekeurige credits,Peti Kredit Acak,Cofre de créditos aleatorio,Rastgele Kredi Sandığı,Rương Điểm Tín Dụng Ngẫu Nhiên,Coffre aléatoire de crédits,Zufällige Credit-Truhe,Forziere credito casuale,Случайный кейс: кредиты,Baú de Crédito Aleatório,หีบเครดิตแบบสุ่ม,Peti Kredit Rawak,صندوق نقاط الرصيد العشوائي
随机银河币宝箱,Random Galactic Coin Chest,Bundle,,,隨機銀河幣寶箱,랜덤 갤럭시 코인 보물상자,ランダムギャラクシーコインBOX,Slumpkista med galaktiskt mynt,Skrzynia losu z monetami galaktycznymi,Kist met willekeurige galactische munten,Peti Koin Galactic Acak,Cofre aleatorio de monedas galácticas,Rastgele Galaktik Para Sandığı,Rương Xu Thiên Hà Ngẫu Nhiên,Coffre aléatoire de pièces galactiques,Zufällige Galaxiemünze-Truhe,Forziere moneta galattica casuale,Случайный кейс: галактические монеты,Baú Aleatório de Moedas Galácticas,หีบเหรียญกาแล็กซีแบบสุ่ม,Peti Syiling Galaksi Rawak,صندوق عملات المجرة العشوائي
天选之人,The Chosen One,Name,,,天選之人,선택받은 자,選ばれし者,Den utvalda,Wybraniec,De uitverkorene,Yang Terpilih,El elegido,Seçilmiş Kişi,Người Được Chọn,L'élu,Der Auserwählte,Il prescelto,Избранный,O Escolhido,ผู้ถูกเลือก,Insan Terpilih,المختار
涂装,Paint Job,Name,旗舰皮肤 | Appearance of Flagship,,塗裝,도장,ペイント,Lackering,Lakier,Lakwerk,Cat,Pintura,Boya,Màu,Peinture,Lackierung,Verniciatura,Покрытие,Pintura,งานสี,Cat,تصميم الطلاء
未知随机奖励宝箱,Unknown Random Reward Chest,Bundle,,,未知隨機獎勵寶箱,미지의 랜덤 보상 보물상자,ミステリーBOX,Slumpkista med okänd belöning,Skrzynia z losową nagrodą,Kist met onbekende willekeurige beloning,Peti Hadiah Acak Tak Diketahui,Cofre de recompensa aleatoria desconocida,Bilinmeyen Rastgele Ödül Sandığı,Rương Phần Thưởng Ngẫu Nhiên Bí Ẩn,Coffre aléatoire de récompenses inconnues,Unbekannte zufällige Belohnungstruhe,Forziere ricompensa casuale sconosciuto,Случайный кейс: награды,Baú de Recompensa Aleatória Desconhecida,หีบรางวัลแบบสุ่มที่ไม่รู้จัก,Peti Ganjaran Rawak Tidak Diketahui,صندوق مكافآت عشوائية مجهول
星舰与太阳,Spaceship and Sun,Event,活动名称 | Event,,星艦與太陽,함선과 태양,星艦と太陽,Rymdskepp och sol,Statek i Słońce,Ruimteschip en Zon,Kapal Luar Angkasa dan Matahari,Nave espacial y sol,Uzay Gemisi ve Güneş,Phi Thuyền và Mặt Trời,Vaisseau spatial et soleil,Das Raumschiff und die Sonne,Astronave e Sole,Звездолет и солнце,A Nave e o Sol,ยานอวกาศและดวงอาทิตย์,Kapal Angkasa dan Matahari,سفينة الفضاء والشمس
巡猎,Hunt,Feature,科技名称 | Research,,巡獵,순환 사냥,パトロール,Jakt,Polowanie,Jacht,Lakukan Perburuan,Cacería,Avlanma,Cuộc Săn,Chasse,Jagd,Caccia,Охота,Caça,การล่า,Memburu,الصيد
英雄战令,Champion Pass,Event,活动名称 | Event,,英雄通行證,챔피언 배틀패스,ヒーローパス,Förkämpespass,Przepustka Czempiona,Kampioenspas,Champion Pass,Pase de campeón,Kahraman Bileti,Vé Tướng,Pass Champion,"Champion-

Pass",Pass dei campioni,Пропуск защитника,Passe de Campeão,พาสแชมเปี้ยน,Pas Pejuang,بطاقة البطل
意外惊喜,Unexpected Bonus,Name,,,意外驚喜,서프라이즈,サプライズボーナス,Oväntad bonus,Nieoczekiwana premia,Onverwachte bonus,Bonus Tak Terduga,Bonificación inesperada,Beklenmedik Bonus,Thưởng Bất Ngờ,Bonus surprise,Unerwarteter Bonus,Bonus inaspettato,Неожиданный бонус,Bônus Inesperado,โบนัสที่ไม่คาดคิด,Bonus Tidak Dijangka,علاوة غير متوقعة
战争,War,Name,,,戰爭,전쟁,ウォー,Krig,Wojna,Oorlog,Perang,Guerra,Savaş,Chiến Tranh,Guerre,Krieg,Guerra,Война,Guerra,สงคราม,Peperangan,الحرب
资源自选宝箱,Resource Choice Chest,Bundle,,,資源自選寶箱,자원 선택 보물상자,資源選択BOX,Valkista med resurser,Skrzynia z zasobami do wyboru,Kist met keuze uit middelen,Peti Pilihan Sumber Daya,Cofre de selección de recursos,Kaynak Seçim Sandığı,Rương Chọn Tài Nguyên,Coffre de choix de ressources,Ressourcen-Auswahltruhe,Forziere scelta delle risorse,Кейс выбора: ресурсы,Baú de Escolha de Recursos,หีบเลือกทรัพยากร,Peti Pilihan Sumber,صندوق اختيار الموارد
宝藏,Treasure,Name,王侯技能名称 | Prince Ability,,寶藏,보물,トレジャー,Skatt,Skarb,Schat,Harta Karun,Tesoro,Hazine,Kho Báu,Trésor,Schatz,Tesoro,Сокровище,Tesouro,สมบัติ,Harta Karun,الكنز
病原控制剂,Pathogen Control Agent,Name,诺维斯生命科技蓝色订单名称 | Blue order from Novis LifeTech,,病原控制劑,병원체 억제제,病原制御剤,Medel för patogenkontroll,Czynnik kontroli patogenu,Biologische agent,Agen Kontrol Patogen,Agen. ctrl. de patógenos,Patojen Kontrol Ajanı,Chất Kiểm Soát Mầm Bệnh,Contrôle pathogène,Pathogen-Suppressor,Agente di controllo patogeno,Регулятор патогена,Agente Anti-patógenos,สารควบคุมพาโธเจน,Ejen Kawalan Patogen,عامل مكافحة العدوى
庇护,Safeguard,Skill,王侯技能名称 | Prince Ability,,庇護,보호,セーフガード,Beskydd,Obrona,Beveiliging,Pengamanan,Salvaguardia,Koruma,Bảo Hộ,Protection,Schutz,Salvaguardia,Охрана,Proteção,ปกป้อง,Melindungi,الحماية
超导矿物合金,Superconductive Alloy,Name,开拓者矿业紫色订单名称 | Purple order from Pioneer Mining,,超導礦物合金,초전도 광물 합금,超伝導合金,Superledande legering,Nadprzewodzący stop,Supergeleidende legering,Aloi Superkonduktif,Aleac. superconductora,Süper İletken Alaşım,Hợp Kim Siêu Dẫn,Alliage supraconducteur,Superleitende Legierung,Lega superconduttiva,Сверхпроводящий сплав,Liga Supercondutora,อัลลอยเหนี่ยวนำยิ่งยวด,Aloi Superkonduktif,سبيكة فائقة التوصيل
春日宝库,Springtime Vault,Event,春日庆典活动商店 | Springtime Celebration Event Shop,,春日寶庫,봄날의 금고,春の宝物庫,Vårvalvet,Wiosenny Skarbiec,Lentekluis,Vault Musim Semi,Bóveda de primavera,Bahar Kasası,Kho Mùa Xuân,Coffre Printemps,Frühlingstresor,Caveau primaverile,Весеннее Хранилище,Cofre da Primavera,ห้องนิรภัยฤดูใบไม้ผลิ,Kubah Musim Bunga,خزنة الربيع
春日签到,Springtime Sign-In,Event,2025复活节活动相关 | Related to 2025 Easter Event,,春日簽到,봄날의 출석체크,春のログインボーナス,Vårinloggning,Wiosenne meldowanie,Lente-aanmelding,Login Musim Semi,Inicio de sesión de primavera,Bahar Girişi,Đăng Nhập Mùa Xuân,Connexion Printemps,Frühlings-Anmelden,Accesso primaverile,Весенний вход,Login de Primavera,ลงชื่อเข้าใช้ในช่วงฤดูใบไม้ผลิ,Log Masuk Musim Bunga,تسجيل الدخول الربيعي
春日庆典,Springtime Celebratio,Event,2025复活节活动 | Name of 2025 Easter Event,,春日慶典,봄날의 축제,春祭り,Vårfirandet,Obchody Wiosny,Lentefeest,Perayaan Musim Semi,Celebración de primavera,Bahar Kutlaması,Lễ Hội Mùa Xuân,Fête du printemps,Frühlingsfest,Festeggiamenti di primavera,Весенний праздник,Celebração da Primavera,การฉลองฤดูใบไม้ผลิ,Perayaan Musim Bunga,احتفال الربيع
春日限定,Springtime Limited,Bundle,2025复活节活动相关 | Related to 2025 Easter Event,,春日限定,봄날 한정,春限定,Vårbegränsad,Limitowana wiosna,Exclusieve lente-editie,Musim Semi Terbatas,Por tiempo limitado en primavera,Bahar Süreli,Giới Hạn Mùa Xuân,Printemps limité,Nur im Frühling,Esclusiva primaverile,Весенний эксклюзив,Edição Limitada de Primavera,จำกัดเฉพาะฤดูใบไม้ผลิเท่านั้น,Edisi Terhad Musim Bunga,إصدار الربيع المحدود
春日战令,Springtime Pass,Item,2025复活节活动相关 | Related to 2025 Easter Event,,春日通行證,봄날의 배틀패스,春パス,Vårpasset,Wiosenna Przepustka,Lentepas,Pass Musim Semi,Pase de primavera,Bahar Bileti,Vé Mùa Xuân,Pass Printemps,Frühlingspass,Pass primaverile,Весенний пропуск,Passe de primavera,พาสฤดูใบไม้ผลิ,Pas Musim Bunga,بطاقة الربيع
初级矿物包,Mineral Pack I,Name,开拓者矿业白色订单名称 | White order from Pioneer Mining,,礦物包 I,초급 광물 팩,鉱物Ⅰパック,Mineralpaket I,Pakiet minerałów I,Mineralenbundel I,Paket Mineral I,Paquete de mineral I,Mineral Paketi I,Gói Khoáng Vật I,Pack minéral I,Mineralienpaket I,Pacchetto minerale I,Набор минералов I,Pacote de Minerais I,แพ็กแร่ธาตุ I,Pek Mineral I,حزمة المعادن I
初始映像,Default Appearance,Item,默认英雄皮肤 | Default Champion Appearance,,初始外觀,초기 외형,デフォルト,Standardutseende,Wygląd domyślny,Standaard uiterlijk,Penampilan Default,Apariencia predeterminada,Varsayılan Görünüm,Diện Mạo Mặc Định,Apparence par défaut,Standard-Aussehen,Aspetto predefinito,Стандартный облик,Aparência Padrão,ของตกแต่งเริ่มต้น,Penampilan Lalai,المظهر الافتراضي
巅峰映像,Maxed-out Appearance,Item,高级英雄皮肤 | Advanced Champion Appearance,,巔峰外觀,최상위 외형,最上級,Maxat utseende,Najlepszy możliwy wygląd,Maximale skin,Penampilan Maks,Apariencia máxima,Maksimum Görünüm,Diện Mạo Cấp Tối Đa,Apparence au max,Aussehen (max. Level),Aspetto al massimo livello,Максимальный облик,Aparência Aprimorada,ของตกแต่งสูงสุด,Penampilan Maksimum,المظهر الأقصى
帝国奢侈品箱,Imperial Luxury Crate,Name,银河帝国紫色订单名称 | Purple order from Galactic Empire,,帝國奢侈品箱,제국의 사치품 상자,帝国ラグジュアリーボックス,Imperial lyxlåda,Luksusowa skrzynia imperialna,Keizerlijke luxekist,Peti Mewah Empire,Caja de lujo imperial,İmparatorluk Lüks Kasası,Rương Sang Chảnh Đế Chế,Caisse de luxe imp.,Imperiale Luxuskiste,Cassa lusso imperiale,Имперский роскошный контейнер,Caixa de Luxo Imperial,หีบหรูจักรวรรดิ,Peti Mewah Diraja Empayar,صندوق الرفاهية الإمبراطوري
帝国文化藏品,Imperial Culture Relic,Name,银河帝国绿色订单名称 | Green order from Galactic Empire,,帝國文化藏品,제국 문화 수집품,帝国カルチャーレリック,Imperial kulturell relik,Relikt kultury Imperium,Keizerlijk cultureel artefact,Relik Budaya Empire,Reliq. cultural imperial,İmparatorluk Kültür Eseri,Di Vật Văn Hoá Đế Chế,Relique impériale,Imperiales Kulturrelikt,Reliquia della cultura imperiale,Имперская культурная реликвия,Relíquia Imperial,วัตถุโบราณวัฒนธรรมจักรวรรดิ,Artifak Budaya Empayar,أثر ثقافي إمبراطوري
帝国医疗物资,Imperial Med Supplies,Name,银河帝国蓝色订单名称 | Blue order from Galactic Empire,,帝國醫療物資,제국 의료 보급품,帝国メディカルサプライ,Imperialt sjukvårdsmaterial,Imperialne zaopatrzenie medyczne,Keizerlijke medische voorraden,Pasokan Medis Empire,Sum. méd. imperiales,İmparatorluk Medikal Malzemeleri,Vật Tư Y Tế Đế Chế,Fournitures méd. imp.,Imperiale Arzneigüter,Forniture mediche imperiali,Имперские медицинские припасы,Itens Médicos Imperiais,เสบียงทางการแพทย์จักรวรรดิ,Bekalan Perubatan Diraja,الإمدادات الطبية الإمبراطورية
动员,Mobilization,Skill,王侯技能名称 | Prince Ability,,動員,동원,動員,Mobilisering,Mobilizacja,Mobilisatie,Mobilisasi,Movilización,Seferberlik,Huy Động,Mobilisation,Mobilisieren,Mobilitazione,Мобилизация,Mobilização,การระดมสรรพกำลัง,Mobilisasi,التعبئة
防守反击I,Defensive Counter I,Name,商会科技 | Guild Research,,防守反擊I,수비 반격I,カウンターⅠ,Defensiv motattack I,Kontr-defensywa I,Defensieve counter I,Tangkisan Defensif I,Contraataque defensivo I,Savunma Karşı Saldırısı I,Phản Công Phòng Ngự I,Contre défensif I,Verteidigungskonter I,Contrattacco difensivo I,Защитный контрудар I,Contra-ataque Defensivo I,โต้กลับป้องกัน I,Tindak Balas Pertahanan I,المضاد الدفاعي I
繁荣,Prosperity,Skill,王侯技能名称 | Prince Ability,,繁榮,번영,繁栄,Välstånd,Dobrobyt,Voorspoed,Kemakmuran,Prosperidad,Refah,Phồn Vinh,Prospérité,Wohlstand,Prosperità,Процветание,Prosperidade,ความรุ่งเรือง,Kemakmuran,مزدهر
分红,Dividend,Skill,王侯技能名称 | Prince Ability,,分紅,배당,配当,Utdelning,Dywidendy,Dividend,Dividen,Dividendo,Kâr Payı,Cổ Tức,Dividende,Dividende,Dividendo,Прибыль,Dividendos,เงินปันผล,Dividen,التقسيم
高能放射晶核,High-Energy Radiant Core,Name,开拓者矿业橙色订单名称 | Orange order from Pioneer Mining,,高能放射晶核,고출력 방사 코어,高エネルギーコア,Ljusenergi med hög energi,Silne jądro energii radiantu,Hoogenergetische stralingskern,Inti Cahaya Berenergi,Núc. radiante de energía,Yüksek Enerjili Parlak Çekirdek,Lõi Quang Thể Năng Lượng Cao,Noyau rayonnant,Aktiver Radiantenkern,Nucleo radiante ad alta energia,Мощное ядро-излучатель,Núcleo de Alta Energia,แกนรัศมีพลังงานสูง,Teras Bersinar Tenaga Tinggi,النواة المشعة عالية الطاقة
贡船,Tribute Vessel,Name,至高教的大型运输船 | Ascendancy large transport ships,,貢品船,공물선,献納船,Tributfarkost,Okręt z daniną,Schattenschip,Pesawat Persembahan,Nave tributo,Haraç Gemisi,Tàu Cống Phẩm,Vaisseau de tributs,Tributschiff,Nave tributo,Корабль дани,Nave de Tributo,ยานบรรณาการ,Kapal Ufti,سفينة الإهداء
恒星宝藏,Star Treasure,Name,,,恆星寶藏,항성 보물,星の秘宝,Stjärnskatt,Gwiezdny skarb,Sterrenschat,Harta Karun Bintang,Tesoro estelar,Yıldız Hazinesi,Kho Báu Sao,Trésor des étoiles,Sternenschatz,Tesoro stellare,Звездное сокровище,Tesouro Estelar,สมบัติดวงดาว,Harta Karun Bintang,كنز النجوم
后勤物资整备,Logistical Supply Prep,Name,透光教紫色订单名称 | Purple order from Luminism,,後勤物資整備,보급 정비,兵站物資準備,Förberedelse av logistiska förnödenheter,Zaopatrzenie logistyczne,Voorbereiding voor logistische bevoorrading,Prep Pasokan Logistik,Prep. sumin. logísticos,Lojistik İkmal Hazırlığı,Chuẩn Bị Vật Tư Hậu Cần,Fournitures logistiques,Logistische Vorräte,Preparazione logistica dei rifornimenti,Подготовка снабжения,Suprimentos Logísticos,การเตรียมเสบียงโลจิสติกส์,Persediaan Bekalan Logistik,إعداد الإمدادات اللوجستية
教育启蒙物资,Educational Supplies,Name,透光教绿色订单名称 | Green order from Luminism,,教育啟蒙物資,교육 보급품,教育物資,Utbildningsmaterial,Materiały edukacyjne,Educatieve voorraden,Pasokan Edukasi,Suministros educativos,Eğitim Malzemeleri,Vật Tư Giáo Dục,Fournitures éducatives,Bildungsmaterialien,Forniture formative,Обучающие ресурсы,Suprimentos Educativos,อุปกรณ์ทางการศึกษา,Bekalan Pendidikan,إمدادات تعليمية
嘉奖宝箱,Reward Chest,Bundle,,,嘉獎寶箱,보상 보물상자,報酬BOX,Belöningskista,Skrzynia z nagrodami,Beloningskist,Peti Imbalan,Cofre de recompensa,Ödül Sandığı,Rương Phần Thưởng,Coffre de récompenses,Belohnungstruhe,Forziere ricompensa,Кейс с наградой,Baú de Recompensa,หีบรางวัล,Peti Ganjaran,صندوق المكافأة
精炼金属,Refined Metal,Name,开拓者矿业绿色订单名称 | Green order from Pioneer Mining,,精煉金屬,정제 금속,精錬メタル,Förädlad metall,Rafinowany metal,Verfijnd metaal,Logam Olahan,Metal refinado,Arıtılmış Metal,Kim Loại Tinh Luyện,Métal raffiné,Veredelte Metalle,Metallo lavorato,Обработанный металл,Metal Refinado,โลหะบริสุทธ์,Logam Halus,معدن مكرر
精密武器配件,Exact Weapon Part,Name,库伦工业蓝色订单名称 | Blue order from Coulomb Industries,,精密武器配件,정밀 무기 부품,精密武器パーツ,Exakt vapendel,Dokładna część broni,Exact wapenonderdeel,Komponen Senjata Tepat,Pza. arma de precisión,Birebir Silah Parçası,Linh Kiện Vũ Khí Chính Xác,Pièce d'arme exacte,Präzisionswaffenteile,Parte esatta dell'arma,Деталь высокоточного оружия,Armamento de Precisão,ชิ้นส่วนอาวุธที่ตรงกัน,Komponen Senjata Khusus,قطعة سلاح دقيقة
进军,Advance,Skill,王侯技能名称 | Prince Ability,,進軍,진군,進撃,Avancera,Rozwiń,Vooruit,Maju,Avance,İlerle,Cải Tiến,Percée,Fortschritt,Avanza,Продвижение,Avanço,ก้าวหน้า,Maju,تقدّم
基础救助物资,Basic Relief Supplies,Name,透光教白色订单名称 | White order from Luminism,,基礎救助物資,기본 생존 물자,基礎救援物資,Enkla katastrofförnödenheter,Podstawowa pomoc humanitarna,Standaard hulpvoorraden,Pasokan Bantuan Dasar,Suministros de socorro,Temel Yardım Malzemeleri,Vật Tư Cứu Trợ Cơ Bản,Fournitures de secours,Humanitäre Hilfspakete,Forniture di base per il soccorso,Предметы первой необходимости,Suprimentos de Socorro,เสบียงบรรเทาทุกข์พื้นฐาน,Bekalan Bantuan Asas,إمدادات الإغاثة الأساسية
基础医疗包,Basic Medical Kit,Name,诺维斯生命科技白色订单名称 | White order from Novis LifeTech,,基礎醫療包,기본 의료 키트,基礎医療パック,Enkelt sjukvårds-kit,Podstawowa apteczka,Standaard medische kit,Kit Medis Dasar,Kit médico básico,Temel Medikal Kit,Bộ Dụng Cụ Y Tế Cơ Bản,Kit médical de base,Einfache Verbandskästen,Kit medico di base,Базовая аптечка,Kit Médico Básico,ชุดปฐมพยาบาลเบื้องต้น,Kit Perubatan Asas,عدة طبية أساسية
